,ARO:3003835,ARO:3003952,ARO:3000501,ARO:3004361,ARO:3003787,ARO:3000267,ARO:3002987,ARO:3000240,ARO:0010004,ARO:3000185,ARO:3003398,ARO:3002906,ARO:3003578,ARO:3003982,ARO:3000446,ARO:3003580,ARO:3000477,ARO:3003747,ARO:3002984,ARO:3000024,ARO:3000202,ARO:3000535,ARO:3000451,ARO:3000315,ARO:3000241,ARO:3000381,ARO:3002985,ARO:3002915,ARO:3004273,ARO:0000002,ARO:3002979,ARO:3000833,ARO:3000556,ARO:3002928,ARO:3000529,ARO:3003252,ARO:3002815,ARO:3004238,ARO:3000025,ARO:0010002,ARO:3000750,ARO:3002956,ARO:3000510,ARO:3000492,ARO:3000748,ARO:3002925,ARO:3003948,ARO:3003841,ARO:3000751,ARO:3000322,ARO:3000574,ARO:3000489,ARO:3000164,ARO:3000383,ARO:3000000,ARO:3000209,ARO:3003318,ARO:3000052,ARO:3003577,ARO:3000112,ARO:3000472,ARO:3004112,ARO:3002905,ARO:3003680,ARO:1000001,ARO:3000104,ARO:3000370,ARO:0000031,ARO:3000006,ARO:3003726,ARO:3002909,ARO:3002881,ARO:3002986,ARO:0010001,ARO:3000481,ARO:3002976,ARO:3000558,ARO:3003728,ARO:3000822,ARO:3000480,ARO:3000494,ARO:3000210,ARO:3003727,ARO:3000838,ARO:3004274,ARO:3000159,ARO:3002929,ARO:3002891,ARO:3000557,ARO:3000121,ARO:3003980,ARO:3000519,ARO:3000408,ARO:3000077,ARO:3002943,ARO:3003746,ARO:3000012,ARO:3000071,ARO:3003276,ARO:3004269,ARO:3000816
ARO:3003577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,142,0,0,142,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0
ARO:3000112,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,63,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARO:3000472,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,95,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
ARO:3004112,0,0,0,0,0,0,0,0,0,0,0,0,767,0,0,2347,0,0,2347,0,0,0,0,0,0,0,1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2347,0,0,0,142,0,0,2347,0,0,2347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2347,0
ARO:3002905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,3303,0,0,0,0,4347,0,0,0,4831,0,0,0,0,0,0,0,4831,0,4831,0,0,0,0,484,0,0,0,0,0,4831,0,254,0,0,4831,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,4831,484,0,0,0
ARO:3003680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARO:1000001,59,46,32,303,76,99,895,99,493,95,2246,384,767,1224,105,2347,76,75,2347,36,99,4068,1543,99,99,336,1438,24,1224,95,384,65,59,485,105,2246,96,303,580,310,986,222,102,76,4898,3303,60,865,2246,620,4347,55,1323,32,22889,76,76,99,142,63,95,2347,4831,120,22889,620,76,213,296,484,384,66,2246,2654,105,5779,303,254,30,76,5779,32,24,56,1323,8418,288,25,621,620,280,1323,303,222,290,75,8025,484,32,2347,557
ARO:3000104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,620,0,0,0,0,0,0,0,0,0,620,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,620,0,0,0,0,0,0,0,0,0,0,0
ARO:3000370,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,76,76,76,0,0,0,0,0,0,0,76,0,76,76,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARO:0000031,0,0,32,0,76,0,0,0,0,0,0,0,0,0,105,0,76,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,102,76,0,0,0,0,0,0,0,0,0,32,213,76,76,0,0,0,0,0,0,0,213,0,76,213,0,0,0,0,0,0,0,0,0,0,0,76,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
ARO:3000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,296,0,0,0,296,0,0,0,0,0,0,296,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,296,0,0,0,0
ARO:3003726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,0,0,484,0,484,0,0,0,0,484,0,0,0,0,0,484,0,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,484,0,0,0
ARO:3002909,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,384,0,0,0,0,384,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0
ARO:3002881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARO:3002986,0,0,0,0,0,0,0,0,0,0,2246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2246,0,0,0,0,0,0,0,0,0,0,0,0,2246,0,0,0,0,0,2246,0,0,0,0,0,0,0,0,0,2246,0,0,0,0,0,0,0,2246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2246,0,0,0,0
ARO:0010001,0,46,0,0,0,0,895,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,2654,0,0,0,0,0,0,0,0,0,2654,0,0,0,0,0,0,66,0,2654,105,0,0,0,0,0,0,0,0,0,0,2654,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0
ARO:3000481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,105,105,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARO:3002976,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,384,0,0,485,0,0,0,0,0,0,0,222,0,0,0,3303,0,0,0,0,4347,0,0,0,5779,0,0,0,0,0,0,0,4831,0,5779,0,0,0,296,484,384,0,0,0,0,5779,0,254,0,0,5779,0,24,0,0,0,288,0,0,0,0,0,0,222,290,0,5779,484,0,0,0
ARO:3000558,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0
ARO:3003728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,254,0,0,0,0,0,0,0,254,0,254,0,0,0,0,0,0,0,0,0,0,254,0,254,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0
ARO:3000822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARO:3000480,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,76,76,76,0,0,0,0,0,0,0,76,0,76,76,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARO:3000494,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,384,0,0,485,0,0,0,0,0,0,0,222,0,0,0,3303,0,0,0,0,4347,0,0,0,5779,0,0,0,0,0,0,0,4831,0,5779,0,0,0,296,484,384,0,0,0,0,5779,0,254,0,0,5779,0,24,0,0,0,288,0,0,0,0,0,0,222,290,0,5779,484,0,0,0
ARO:3000210,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
ARO:3003727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
ARO:3000838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARO:3004274,0,0,0,0,0,99,0,99,0,0,0,0,0,1224,0,0,0,0,0,0,99,0,0,99,99,0,0,0,1224,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323,0,1323,0,0,99,0,0,0,0,0,0,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323,0,0,0,0,0,0,1323,0,0,0,0,0,0,0,0,0
ARO:3000159,59,46,0,0,0,0,895,0,493,0,0,0,0,0,0,0,0,75,0,36,0,4068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,310,0,0,0,0,4898,0,60,0,0,0,0,55,0,0,8418,0,0,0,0,63,0,0,0,120,8418,0,0,0,0,0,0,66,0,2654,105,0,0,0,30,0,0,0,0,0,0,8418,0,0,0,0,280,0,0,0,0,75,0,0,0,0,0
ARO:3002929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,288,0,0,0,0,0,0,0,288,0,288,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,288,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,288,0,0,0,0
ARO:3002891,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
ARO:3000557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,621,0,0,0,0,0,0,0,0,0,621,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,620,0,0,0,0,0,0,0,0,0,0,0
ARO:3000121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,620,0,0,0,0,0,0,0,0,0,620,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,620,0,0,0,0,0,0,0,0,0,0,0
ARO:3003980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0
ARO:3000519,0,0,0,0,0,99,0,99,0,0,0,0,0,1224,0,0,0,0,0,0,99,0,0,99,99,0,0,0,1224,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323,0,1323,0,0,99,0,0,0,0,0,0,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323,0,0,0,0,0,0,1323,0,0,0,0,0,0,0,0,0
ARO:3000408,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0
ARO:3000077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,222,0,0,0,0
ARO:3002943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,290,0,0,0,290,0,0,0,0,0,0,290,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,290,0,0,0,0
ARO:3003746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0
ARO:3000012,0,0,0,0,0,0,0,0,0,0,2246,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,384,0,0,485,0,2246,0,0,0,0,0,222,0,0,0,3303,0,0,2246,0,4347,0,0,0,8025,0,0,0,0,0,0,0,4831,0,8025,0,0,0,296,484,384,0,2246,0,0,5779,0,254,0,0,5779,0,24,0,0,0,288,0,0,0,0,0,0,222,290,0,8025,484,0,0,0
ARO:3000071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,0,0,484,0,484,0,0,0,0,484,0,0,0,0,0,484,0,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,484,0,0,0
ARO:3003276,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
ARO:3004269,0,0,0,0,0,0,0,0,0,0,0,0,767,0,0,2347,0,0,2347,0,0,0,0,0,0,0,1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2347,0,0,0,142,0,0,2347,0,0,2347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2347,0
ARO:3000816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557
